Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2021-00001,2021-08-17,2021-08-18,Second Class,CG-76237,Customer 309,Consumer,Illinois City,Illinois,Central,FUR-1434,Furniture,Chairs,Hon 5400 Series,3887.0,10,0.0,-224.81
CA-2022-00002,2022-02-12,2022-02-18,Second Class,CG-54118,Customer 53,Corporate,Georgia City,Georgia,South,FUR-2519,Technology,Machines,Hewlett Packard LaserJet,1886.09,3,0.3,47.23
CA-2023-00003,2023-02-18,2023-02-19,First Class,CG-92397,Customer 317,Home Office,Ohio City,Ohio,Central,FUR-6925,Office Supplies,Envelopes,Wausau Papers,265.06,8,0.4,-17.11
CA-2022-00004,2022-01-29,2022-02-04,First Class,CG-31319,Customer 190,Home Office,California City,California,West,FUR-6820,Furniture,Bookcases,Sauder Classic Bookcase,1599.72,4,0.4,40.13
CA-2022-00005,2022-03-06,2022-03-12,Second Class,CG-99733,Customer 167,Home Office,Texas City,Texas,Central,FUR-1916,Technology,Accessories,Kensington SmartFit,872.16,4,0.4,18.73
CA-2022-00006,2022-04-15,2022-04-22,Same Day,CG-61856,Customer 453,Corporate,Oregon City,Oregon,West,FUR-8517,Office Supplies,Binders,Avery Dennison,565.11,10,0.3,-2.44
CA-2021-00007,2021-10-20,2021-10-23,Second Class,CG-76784,Customer 253,Home Office,Pennsylvania City,Pennsylvania,East,FUR-2489,Technology,Machines,Sharp AL-1530,3770.58,10,0.4,237.16
CA-2021-00008,2021-04-07,2021-04-14,Standard Class,CG-99166,Customer 370,Home Office,Washington City,Washington,West,FUR-2876,Furniture,Furnishings,Eldon Expressions,365.48,2,0.5,50.47
CA-2022-00009,2022-07-01,2022-07-08,Second Class,CG-76542,Customer 468,Corporate,Texas City,Texas,Central,FUR-2743,Office Supplies,Paper,Hammermill CopyPlus,69.23,1,0.2,23.35
CA-2022-00010,2022-09-04,2022-09-11,First Class,CG-41385,Customer 30,Corporate,Pennsylvania City,Pennsylvania,East,FUR-4946,Furniture,Chairs,Realspace Magellan,768.15,8,0.3,226.93
